Date,Store_Traffic
43522,458
43521,461
43520,426
43519,738
43518,683
43517,599
43516,529
43515,608
43514,751
43513,646
43512,820
43511,593
43510,680
43509,688
43508,484
43507,650
43506,659
43505,814
43504,517
43503,509
43502,507
43501,643
43500,512
43499,574
43498,988
43497,866
43496,679
43495,625
43494,544
43493,644
43492,598
43491,995
43490,802
43489,463
43488,633
43487,649
43486,610
43485,651
43484,1165
43483,1029
43482,864
43481,844
43480,876
43479,890
43478,802
43477,1148
43476,921
43475,812
43474,693
43473,832
43471,838
43470,939
43469,1286
43468,1487
43467,1521
43466,1393
43465,1510
43464,1572
43463,2128
43462,1831
43461,1924
43460,1511
43459,1522
43458,1153
43457,1499
43456,1625
43455,1486
43454,1760
43453,2031
43452,1948
43451,1769
43450,1041
43449,1497
43448,1741
43447,1448
43446,1530
43445,1290
43444,1481
43443,1833
43442,2676
43441,2022
43440,1519
43439,1326
43438,1348
43437,1274
43436,1275
43435,2273
43434,1597
43433,1300
43432,1208
43431,1124
43430,842
43429,1779
43428,2527
43427,2714
43426,1543
43425,1978
43424,1422
43423,1354
43422,1453
43421,1885
43420,1648
43419,1069
43418,1040
43417,920
43416,1021
43414,1503
43413,784
43412,820
43411,661
43410,510
43409,777
43408,941
43407,1366
43406,946
43405,894
43404,843
43403,874
43402,1005
43401,1105
43400,894
43399,1272
43398,973
43397,908
43396,812
43395,1007
43394,1094
43393,1138
43392,1006
43391,859
43390,697
43389,637
43388,627
43387,917
43386,985
43385,687
43384,374
43383,434
43382,529
43381,683
43380,541
43379,736
43378,711
43377,502
43376,561
43375,648
43374,619
43373,514
43372,748
43371,593
43370,509
43369,491
43368,354
43367,442
43366,476
43365,623
43364,586
43363,412
43362,398
43361,215
43360,359
43359,294
43358,498
43357,418
43356,342
43355,330
43354,384
43353,336
43352,231
43351,515
43350,406
43349,325
43348,313
43347,302
43346,478
43345,396
43344,523
43343,426
43342,424
43341,362
43340,311
43339,352
43338,271
43337,459
43336,460
43335,423
43334,393
43333,424
43332,448
43331,360
43330,417
43329,382
43328,369
43327,399
43326,376
43325,351
43324,292
43323,411
43322,422
43321,367
43320,319
43319,358
43318,324
43317,277
43316,473
43315,322
43314,300
43313,306
43312,291
43311,343
43310,283
43309,429
43308,280
43307,306
43306,312
43305,352
43304,351
43303,256
43302,330
43301,356
43300,315
43299,316
43298,193
43297,321
43296,200
43295,300
43294,340
43293,246
43292,283
43291,242
43290,250
43289,244
43288,432
43287,341
43286,278
43285,319
43284,230
43283,292
43282,176
43281,389
43280,294
43279,269
43278,246
43277,282
43276,292
43275,204
43274,401
43273,351
43272,257
43271,228
43270,286
43269,233
43268,230
43267,383
43266,320
43265,277
43264,283
43263,308
43262,297
43261,332
43260,365
43259,350
43258,331
43257,331
43256,358
43255,319
43254,460
43253,465
43252,384
43251,328
43250,357
43249,390
43248,405
43247,443
43246,538
43245,451
43244,493
43243,407
43242,433
43241,429
43240,438
43239,448
43238,565
43237,476
43236,334
43235,403
43234,422
43233,360
43232,571
43231,521
43230,503
43229,380
43228,446
43227,439
43226,401
43225,586
43224,492
43223,455
43222,452
43221,431
43220,530
43219,489
43218,578
43217,464
43216,382
43215,342
43214,381
43213,416
43212,406
43211,508
43210,546
43209,450
43208,530
43207,330
43206,311
43205,412
43204,520
43203,437
43202,399
43201,390
43200,416
43199,386
43198,398
43197,668
43196,661
43195,551
43194,493
43193,409
43192,838
43191,670
43190,750
43189,686
43188,746
43187,644
43186,657
43185,583
43184,604
43183,730
43182,655
43181,513
43180,451
43179,551
43178,559
43177,528
43176,855
43175,627
43174,549
43173,562
43172,626
43171,523
43170,532
43169,796
43168,743
43167,577
43166,344
43165,689
43164,552
43163,520
43162,780
43161,359
43160,515
43159,537
43158,432
43157,526
43156,462
43155,685
43154,708
43153,523
43152,554
43151,566
43150,677
43149,1060
43148,854
43147,649
43146,606
43145,700
43144,741
43143,615
43142,467
43141,836
43140,758
43139,548
43138,334
43137,503
43136,434
43135,533
43134,816
43133,674
43132,619
43131,642
43130,650
43129,524
43128,614
43127,828
43126,726
43125,533
43124,592
43123,485
43122,620
43121,730
43120,970
43119,764
43118,796
43117,641
43116,722
43115,809
43114,859
43113,1334
43112,885
43111,1021
43110,1014
43109,1189
43108,1049
43107,1065
43106,1562
43105,1866
43104,1053
43103,2016
43102,1628
43101,1884
43099,1550
43098,1478
43097,1544
43096,1771
43095,1694
43094,1230
43093,1382
43092,1489
43091,1555
43090,2021
43089,1885
43088,1448
43087,2021
43086,1547
43085,1928
43084,1832
43083,1566
43082,1359
43081,1336
43080,1482
43079,2013
43078,2026
43077,2080
43076,1386
43075,1163
43074,946
43073,1375
43072,1262
43071,1761
43070,1569
43069,1090
43068,1167
43067,1091
43066,1281
43065,1411
43064,1947
43063,2701
43062,1401
43061,1425
43060,1290
43059,1322
43058,1370
43057,1416
43056,1208
43055,950
43053,914
43052,983
43048,992
43047,898
43046,736
43045,819
43044,686
43043,1313
43042,984
43041,857
43040,980
43039,825
43038,965
43037,450
43036,983
43035,915
43034,722
43033,790
43032,597
43031,688
43030,734
43029,912
43028,855
43027,639
43026,550
43025,687
43024,746
43023,651
43022,800
43021,767
43020,625
43019,577
43018,529
43017,601
43016,639
43015,801
43014,606
43013,541
43012,493
43011,556
43010,598
43009,628
43008,849
43007,602
